"Official name (known as)","Location","Country","No. of ODIs"
"Bangabandhu National Stadium (Number 1 Dhaka Stadium)","Dhaka, Dhaka Division"," Bangladesh","58"
"Indira Priyadarshini Stadium (Municipal Corporation Vizag Stadium)","Visakhapatnam, Andhra Pradesh","India","5"
"Brabourne Stadium","Mumbai, Maharashtra","India","8"
"Nehru Stadium (Pandit Jawaharlal Nehru Stadium)","Fatorda, Margao, Goa","India","7"
"K.D. Singh Babu Stadium","Lucknow, Uttar Pradesh","India","1"
"Sports Stadium (Sargodha Stadium)","Sargodha, Punjab","Pakistan","1"
"Rawalpindi Cricket Stadium","Rawalpindi, Punjab","Pakistan","21"
"Pukekura Park","New Plymouth, Taranaki","New Zealand","1"
"Ray Mitchell Oval (Harrup Park)","Mackay, Queensland","Australia","1"
"Eastern Oval","Ballarat, Victoria","Australia","1"
"Manuka Oval","Canberra, Australian Capital Territory","Australia","7"
"Berri Oval","Berri, South Australia","Australia","1"
"Lavington Sports Oval (Lavington Sports Club)","Albury, New South Wales","Australia","1"
"Harare Sports Club (formerly Salisbury Sports Club)","Harare"," Zimbabwe","114"
"Bulawayo Athletic Club","Bulawayo"," Zimbabwe","1"
"Sahara Park Newlands (Newlands)","Cape Town, Western Cape","South Africa","36"
"Axxess DSL St. Georges (St George’s Park)","Port Elizabeth, Eastern Cape","South Africa","36"
"SuperSport Park (Centurion Park)","Centurion, Gauteng","South Africa","46"
"New Wanderers Stadium (Wanderers)","Johannesburg, Gauteng","South Africa","42"
"Goodyear Park (Springbok Park)","Bloemfontein, Free State","South Africa","27"
"Sahara Stadium, Kingsmead (Kingsmead)","Durban, KwaZulu-Natal","South Africa","40"
"Buffalo Park","East London, Eastern Cape","South Africa","21"
"Moin-ul-Haq Stadium","Patna, Bihar","India","3"
"Punjab Cricket Association Stadium (Mohali)","Mohali, Punjab","India","22"
"Reliance Stadium (formerly Indian Petrochemicals Corporation Limited Sports Complex Ground)","Vadodara, Baroda","India","10"
"The Padang (Padang Cricket Ground)","Singapore, Singapore"," Singapore","5"
"Toronto Cricket, Skating and Curling Club","Toronto, Ontario","Canada","30"
"Gymkhana Club Ground","Nairobi, Nairobi County","Kenya","62"
"Nairobi Club Ground","Nairobi, Nairobi County","Kenya","1"
"Aga Khan Sports Club Ground","Nairobi, Nairobi County","Kenya","4"
"Bugti Stadium (formerly Racecourse Ground)","Quetta, Balochistan","Pakistan","1"
"Queens Sports Club","Bulawayo"," Zimbabwe","61"
"Boland Park (Boland Bank Park)","Paarl, Western Cape","South Africa","10"
"Willowmoore Park (Willowmoore Park Main Oval)","Benoni, Gauteng","South Africa","19"
"Nehru Stadium","Kaloor, Kochi, Kerala","India","8"
"De Beers Diamond Oval (formerly Kimberley Country Club/De Beers Country Club)","Kimberley, Northern Cape","South Africa","12"
"Sheikhupura Stadium","Sheikhupura, Punjab","Pakistan","2"
"Owen Delany Park","Taupo, Waikato","New Zealand","3"
"National Cricket Stadium (Queen's Park)","St. George's, Grenada (West Indies)","Grenada","21"
"County Ground","Hove, East Sussex","England","1"
"St Lawrence Ground","Canterbury, Kent","England","4"
"County Ground (Wantage Road)","Northampton, Northamptonshire","England","2"
"SWALEC Stadium (Sophia Gardens)","Cardiff, South Glamorgan","Wales","16"
"County Ground (Riverside)","Chester-le-Street, County Durham","England","14"
"Castle Avenue (Clontarf CC Ground)","Dublin, Leinster","Ireland","20"
"Grange CC Ground, Raeburn Place","Edinburgh","Scotland","10"
