"file_id","city","date","team1","team2","toss_winner","toss_decision","result","win_team"
"817211","Chittagong","[datetime.date(2015, 7, 15)]","Bangladesh","South Africa","South Africa","bat","","Bangladesh"
"848843","Centurion","[datetime.date(2015, 8, 19)]","South Africa","New Zealand","New Zealand","field","","South Africa"
"848845","Potchefstroom","[datetime.date(2015, 8, 23)]","South Africa","New Zealand","South Africa","bat","","New Zealand"
"848847","Durban","[datetime.date(2015, 8, 26)]","South Africa","New Zealand","South Africa","bat","","South Africa"
"858485","Mirpur","[datetime.date(2015, 4, 17)]","Bangladesh","Pakistan","Bangladesh","bat","","Bangladesh"
"858487","Mirpur","[datetime.date(2015, 4, 19)]","Bangladesh","Pakistan","Pakistan","bat","","Bangladesh"
"858489","Mirpur","[datetime.date(2015, 4, 22)]","Bangladesh","Pakistan","Pakistan","bat","","Bangladesh"
"860269","","[datetime.date(2015, 7, 11)]","Sri Lanka","Pakistan","Pakistan","field","","Pakistan"
"860271","","[datetime.date(2015, 7, 15)]","Sri Lanka","Pakistan","Pakistan","bat","","Sri Lanka"
"860273","Colombo","[datetime.date(2015, 7, 19)]","Sri Lanka","Pakistan","Pakistan","bat","","Pakistan"
"860275","Colombo","[datetime.date(2015, 7, 22)]","Sri Lanka","Pakistan","Sri Lanka","bat","","Pakistan"
"860277","Hambantota","[datetime.date(2015, 7, 26)]","Sri Lanka","Pakistan","Sri Lanka","bat","","Sri Lanka"
"868727","Lahore","[datetime.date(2015, 5, 26)]","Pakistan","Zimbabwe","Pakistan","bat","","Pakistan"
"868729","Lahore","[datetime.date(2015, 5, 29)]","Pakistan","Zimbabwe","Pakistan","field","","Pakistan"
"868731","Lahore","[datetime.date(2015, 5, 31)]","Pakistan","Zimbabwe","Pakistan","bat","no result",""
"870731","Mirpur","[datetime.date(2015, 6, 18)]","Bangladesh","India","Bangladesh","bat","","Bangladesh"
"870733","Mirpur","[datetime.date(2015, 6, 21)]","Bangladesh","India","India","bat","","Bangladesh"
"870735","Mirpur","[datetime.date(2015, 6, 24)]","Bangladesh","India","Bangladesh","field","","India"
"885959","","[datetime.date(2015, 7, 10)]","Zimbabwe","India","Zimbabwe","field","","India"
"885965","","[datetime.date(2015, 7, 12)]","Zimbabwe","India","Zimbabwe","field","","India"
"885967","","[datetime.date(2015, 7, 14)]","Zimbabwe","India","Zimbabwe","field","","India"
"894287","","[datetime.date(2015, 8, 2)]","Zimbabwe","New Zealand","Zimbabwe","field","","Zimbabwe"
"894289","","[datetime.date(2015, 8, 4)]","Zimbabwe","New Zealand","Zimbabwe","bat","","New Zealand"
"894291","","[datetime.date(2015, 8, 7)]","Zimbabwe","New Zealand","Zimbabwe","field","","New Zealand"
"895807","Perth","[datetime.date(2016, 1, 12)]","Australia","India","India","bat","","Australia"
"895809","Brisbane","[datetime.date(2016, 1, 15)]","Australia","India","India","bat","","Australia"
"895811","","[datetime.date(2016, 1, 17)]","Australia","India","Australia","field","","Australia"
"895813","Canberra","[datetime.date(2016, 1, 20)]","Australia","India","Australia","bat","","Australia"
"895815","","[datetime.date(2016, 1, 23)]","Australia","India","India","field","","India"
"902641","Abu Dhabi","[datetime.date(2015, 11, 11)]","England","Pakistan","England","bat","","Pakistan"
"902643","Abu Dhabi","[datetime.date(2015, 11, 13)]","England","Pakistan","England","bat","","England"
"902645","","[datetime.date(2015, 11, 17)]","England","Pakistan","Pakistan","bat","","England"
"902647","","[datetime.date(2015, 11, 20)]","England","Pakistan","England","bat","","England"
"903593","Kanpur","[datetime.date(2015, 10, 11)]","India","South Africa","South Africa","bat","","South Africa"
"903595","Indore","[datetime.date(2015, 10, 14)]","India","South Africa","India","bat","","India"
"903597","Rajkot","[datetime.date(2015, 10, 18)]","India","South Africa","South Africa","bat","","South Africa"
"903599","Chennai","[datetime.date(2015, 10, 22)]","India","South Africa","India","bat","","India"
"903601","Mumbai","[datetime.date(2015, 10, 25)]","India","South Africa","South Africa","bat","","South Africa"
"911049","Dubai","[datetime.date(2015, 11, 16)]","United Arab Emirates","Hong Kong","Hong Kong","bat","","Hong Kong"
"914207","Christchurch","[datetime.date(2015, 12, 26)]","New Zealand","Sri Lanka","Sri Lanka","bat","","New Zealand"
"914209","Christchurch","[datetime.date(2015, 12, 28)]","New Zealand","Sri Lanka","Sri Lanka","bat","","New Zealand"
"914211","Nelson","[datetime.date(2015, 12, 31)]","New Zealand","Sri Lanka","New Zealand","bat","","Sri Lanka"
"914213","Nelson","[datetime.date(2016, 1, 2)]","New Zealand","Sri Lanka","Sri Lanka","field","no result",""
"914215","Mount Maunganui","[datetime.date(2016, 1, 5)]","New Zealand","Sri Lanka","Sri Lanka","field","","New Zealand"
"914227","Wellington","[datetime.date(2016, 1, 25)]","New Zealand","Pakistan","Pakistan","field","","New Zealand"
"914265","Auckland","[datetime.date(2016, 1, 31)]","New Zealand","Pakistan","Pakistan","bat","","New Zealand"
"915777","Colombo","[datetime.date(2015, 11, 1)]","Sri Lanka","West Indies","Sri Lanka","field","","Sri Lanka"
"915779","Colombo","[datetime.date(2015, 11, 4)]","Sri Lanka","West Indies","West Indies","bat","","Sri Lanka"
"915781","","[datetime.date(2015, 11, 7)]","Sri Lanka","West Indies","Sri Lanka","field","","Sri Lanka"
"919607","","[datetime.date(2015, 10, 1)]","Zimbabwe","Pakistan","Zimbabwe","field","","Pakistan"
"919609","","[datetime.date(2015, 10, 3)]","Zimbabwe","Pakistan","Pakistan","field","","Zimbabwe"
"919611","","[datetime.date(2015, 10, 5)]","Zimbabwe","Pakistan","Pakistan","field","","Pakistan"
"919613","","[datetime.date(2015, 10, 9)]","Zimbabwe","Ireland","Zimbabwe","field","","Zimbabwe"
"919615","","[datetime.date(2015, 10, 11)]","Zimbabwe","Ireland","Zimbabwe","field","","Zimbabwe"
"919617","","[datetime.date(2015, 10, 13)]","Zimbabwe","Ireland","Ireland","field","","Ireland"
