No. , Official name (known as) , Location , Country , First used , Last used , No. of ODIs ," Ends
"
123,National Cricket Stadium(Queen's Park) ," St. George's, Grenada (West Indies) ", West Indies ! Grenada , 000000001999-04-14-000014 April 1999 , 000000002014-08-22-000022 August 2014[245] ,21 [246] ," • River End • D'arbeau End
"
124,County Ground," Hove, East Sussex ", England ! England , 000000001999-05-15-000015 May 1999 ,000000001999-05-15-000015 May 1999[247] ,1 [248] ," • Cromwell Road End • Sea End
"
125,St Lawrence Ground ," Canterbury, Kent ", England ! England , 000000001999-05-18-000018 May 1999 ,000000002005-06-30-000030 June 2005[249] ,4 [250] ," • Pavilion End • Nackington Road End
"
126,County Ground(Wantage Road) ," Northampton, Northamptonshire ", England ! England , 000000001999-05-19-000019 May 1999 ,000000001999-05-31-000031 May 1999[251] ,2 [252] ," • Wantage Road End • Lynn Wilson Centre End
"
127,SWALEC Stadium(Sophia Gardens) ," Cardiff, South Glamorgan ", Wales ! Wales , 000000001999-05-20-000020 May 1999 ,27 August 2014[253] ,16 [254] ," • River Taff End • Cathedral Road End
"
128,County Ground(Riverside) ," Chester-le-Street, County Durham ", England ! England , 000000001999-05-20-000020 May 1999 ,000000002014-05-25-000025 May 2014[255] ,14 [256] ," • Finchale End • Lumley End
"
129,Castle Avenue(Clontarf CC Ground) ," Dublin, Leinster ", Ireland ! Ireland , 000000001999-05-21-000021 May 1999 ,6 May 2014[257] ,20 [258] ," • City End • Killester End
"
130,"Grange CC Ground, Raeburn Place ", Edinburgh , Scotland ! Scotland , 000000001999-05-24-000024 May 1999 ,3 September 2013[259] ,10 [260] ," • City End • Park End
"
131,VRA Cricket Ground ," Amstelveen, North Holland ", Netherlands ! Netherlands , 000000001999-05-26-000026 May 1999 ,9 July 2013[261] ,19 [262] ," • City End • Mulders End
"
132,Galle International Stadium ," Galle, Southern Province ", Sri Lanka ! Sri Lanka , 000000001999-08-22-000022 August 1999 , 000000002000-07-06-00006 July 2000[263] ,4 [264] ," • City End  • Fort End
"
133,Kallang Ground ," Singapore, Singapore ", Singapore ! Singapore , 000000001999-09-02-00002 September 1999 , 000000002000-08-27-000027 August 2000[265] ,9 [266] ," • National Stadium End • Pavilion End
"
